Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Learn how Microsoft supports secure software development as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/secure-software-development-for-cybersecurity/,8,"39,762","294,048",15.41%,331,51,50,2180,19.60530532,186,357,learn-m365.cybersecurity-secure-software,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Deploy a website to Azure with Azure App Service,https://docs.microsoft.com/en-us/learn/paths/deploy-a-website-with-azure-app-service/,6,"34,353","386,954",15.40%,"7,018","1,081","1,135",2180,16.4096993,"8,411",243,learn.deploy-a-website-with-azure-app-service,developer,azure;azure-app-service;azure-portal,beginner,adsteven,adrianstevens
Manage order fulfillment and inventory in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/manage-order-fulfillment-inventory-commerce/,2,220,"1,668",15.28%,144,22,20,2180,20.59090909,87,242,learn-dynamics.manage-order-fulfillment-inventory-commerce,functional-consultant;business-user,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
Deploy SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/deploy-sap-azure/,2,98,745,15.15%,66,10,11,2180,10.16394558,15,111,learn.wwl.deploy-sap-azure,administrator;solution-architect,azure,advanced,eric,wwlpublish
Microsoft Dynamics 365 Fundamentals (ERP): Explore Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-dynamics-365-finance/,5,"3,713","51,324",15.04%,"1,516",228,238,2180,54.14546189,623,184,learn.wwl.explore-microsoft-dynamics-365-finance,business-owner;business-user;functional-consultant;student,dynamics-365;dynamics-finance,beginner,ceabrams,wwlpublish
Administer containers in Azure,https://docs.microsoft.com/en-us/learn/paths/administer-containers-in-azure/,7,"21,276","153,238",14.90%,"1,812",270,290,2180,22.66585981,"6,628",310,learn.administer-containers-in-azure,administrator,azure;azure-container-instances;azure-container-registry,beginner,adsteven,adrianstevens
Quickly find relevant data to respond to legal and regulatory obligations using Advanced eDiscovery and Advanced Audit,https://docs.microsoft.com/en-us/learn/paths/compliance-discover/,2,298,"1,306",14.89%,141,21,23,2180,12.20587248,397,187,learn-m365.compliance-discover,administrator;auditor,m365,intermediate,beccarobins,ericweisberg
"Create apps, chatbots, and flows with Microsoft Dataverse and Teams",https://docs.microsoft.com/en-us/learn/paths/work-power-platform-teams/,5,"2,437","19,806",14.85%,983,146,160,2180,18.21594173,585,124,learn-bizapps.work-power-platform-teams,business-user;maker,power-platform;power-apps;power-automate;power-virtual-agents;office-teams;common-data-service,beginner,dbeasley,DaveBeasley
Manage nonprofit fundraising and engagement with Microsoft Cloud for Nonprofit,https://docs.microsoft.com/en-us/learn/paths/nonprofit-fundraising-engagement/,9,258,"3,878",14.85%,202,30,32,2180,24.60484496,4,226,learn-bizapps.nonprofit-fundraising-engagement,business-user;functional-consultant,industry-solutions;mscloud-nonprofit,intermediate,dbeasley,DaveBeasley
Work with Dynamics 365 Sales Professional,https://docs.microsoft.com/en-us/learn/paths/working-with-dynamics-sales-professional/,5,"5,995","48,350",14.83%,499,74,78,2180,17.49651932,949,264,learn-dynamics.work-with-dynamics-365-for-sales-pro,business-user;functional-consultant,dynamics-365;dynamics-sales,intermediate,dbeasley,DaveBeasley
Post job usage and sales in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/post-job-usage-sales/,3,137,815,14.75%,61,9,11,2180,14.25437956,123,133,learn-dynamics.post-job-usage-sales,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Architect message brokering and serverless applications in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-messaging-serverless/,8,"20,657","509,420",14.71%,"1,645",242,271,2180,47.83539075,"5,727",376,learn.architect-messaging-serverless,solution-architect,azure;azure-functions;azure-event-hubs;azure-event-grid;azure-service-bus;azure-logic-apps,intermediate,jaboes,jboeshart
AI business school for retail,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-retail/,12,"5,999","58,354",14.67%,368,54,60,2180,17.30807079,"1,393",571,learn.ai-business-school-retail,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Explore the Microsoft 365 platform services,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-365-platform-services/,8,"2,484","28,710",14.67%,"1,036",152,179,2180,31.51661299,391,268,learn.wwl.explore-microsoft-365-platform-services,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Set up Microsoft Teams meetings for your organization,https://docs.microsoft.com/en-us/learn/paths/m365-teams-setup-meetings/,3,"1,104","8,408",14.60%,870,127,141,2180,11.63931159,"1,394",56,learn-m365.teams-meetings,administrator,office-teams,intermediate,teleary,lizap
Build expertise with Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-build-expertise/,5,"2,406","10,289",14.58%,480,70,80,2180,9.062309504,418,156,learn-bizapps.pad-build-expertise,maker;developer;functional-consultant,power-platform;power-automate,advanced,marleon,mariosleon
AZ-204: Implement secure cloud solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-secure-cloud-solutions/,3,766,"5,281",14.52%,599,87,99,2180,12.67060487,59,63,learn.wwl.az-204-implement-secure-cloud-solutions,developer,azure;azure-app-configuration;azure-key-vault;azure-rbac,intermediate,jeffko,wwlpublish
Work like a pro with data in Business Central,https://docs.microsoft.com/en-us/learn/paths/work-pro-data-dynamics-365-business-central/,3,614,"6,136",14.48%,366,53,51,2180,15.09614549,702,154,learn-dynamics.work-pro-data-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Solve problems in real time with Dynamics 365 Remote Assist,https://docs.microsoft.com/en-us/learn/paths/solve-problems-remote-assist/,2,331,"1,731",14.37%,167,24,29,2180,14.07054381,204,85,learn-dynamics.solve-problems-remote-assist,administrator;functional-consultant;business-user,dynamics-365;dynamics-field-service;dynamics-remote-assist,intermediate,dbeasley,DaveBeasley
Process customer and vendor payments in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/process-customer-vendor-payments-dynamics-365-business-central/,4,"1,073","10,390",14.33%,621,89,78,2180,19.73873874,708,186,learn-dynamics.process-customer-vendor-payments-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Visualize data in Power BI,https://docs.microsoft.com/en-us/learn/paths/visualize-data-power-bi/,4,"17,900","230,084",14.33%,"12,355","1,770","1,923",2180,35.73346462,"12,833",350,learn-bizapps.visual-data-power-bi,data-analyst,power-bi,intermediate,robde,heyrob
SQL Server on Linux,https://docs.microsoft.com/en-us/learn/paths/sql-server-2017-on-linux/,4,"4,811","29,469",14.29%,280,40,41,2180,12.46417585,"1,260",184,learn-sqlserver.sql-server-on-linux,data-engineer,sql-server,intermediate,v-gea,GeoffAllix
Create bots with Power Virtual Agents,https://docs.microsoft.com/en-us/learn/paths/work-power-virtual-agents/,4,"2,446","25,609",14.25%,"1,852",264,270,2180,29.49408558,"1,780",151,learn-bizapps.work-power-virtual-agents,maker;administrator,power-platform;power-virtual-agents,intermediate,dbeasley,DaveBeasley
Configure and work with transportation management in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-work-transportation-mgmt-dyn365-supply-chain-mgmt/,1,542,"3,191",14.19%,310,44,52,2180,21.50116851,522,103,learn-dynamics.configure-work-transportation-mgmt-dyn365-supply-chain-mgmt,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
Get started with WinAutomation,https://docs.microsoft.com/en-us/learn/paths/get-started-winautomation/,4,345,"3,500",14.17%,254,36,39,2180,17.2852657,693,165,learn-bizapps.get-started-winautomation,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,beginner,dbeasley,DaveBeasley
Store data in Azure,https://docs.microsoft.com/en-us/learn/paths/store-data-in-azure/,5,"43,278","690,260",14.15%,"11,929","1,688","1,830",2180,28.21083614,"13,460",220,learn.store-data-in-azure,developer;data-engineer,azure;azure-storage;azure-portal;azure-cloud-shell,beginner,adsteven,adrianstevens
Minecraft: Education Edition: Teacher Academy,https://docs.microsoft.com/en-us/learn/paths/minecraft-teacher-academy/,11,"1,261","31,568",14.12%,793,112,120,2180,18.49764737,150,646,learn.mec.minecraft-teacher-academy,k-12-educator;school-leader,minecraft,advanced,abdewees,mec-sa
"Architect migration, business continuity, and disaster recovery in Azure",https://docs.microsoft.com/en-us/learn/paths/architect-migration-bcdr/,10,"15,531","135,562",14.06%,"1,742",245,234,2180,23.233167,"7,795",440,learn.architect-migration-bcdr,solution-architect,azure;azure-virtual-machines;azure-backup;azure-site-recovery;azure-app-service;azure-sql-database,intermediate,jaboes,jboeshart
Process VAT in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/process-vat-dynamics-365-business-central/,4,417,"2,302",13.97%,136,19,21,2180,12.79884093,311,146,learn-dynamics.vat-process-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Migrate virtual machines and apps using Azure Migrate,https://docs.microsoft.com/en-us/learn/paths/m365-azure-migrate-virtual-machine/,4,772,"7,249",13.91%,604,84,88,2180,20.99389033,646,95,learn-m365.m365-azure-migrate-virtual-machine,administrator,m365;azure;azure-virtual-machines;azure-migrate,intermediate,nedelgad,ndelgado
Learn about the data management foundation in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/data-management-foundation-business-central/,3,574,"4,109",13.87%,137,19,19,2180,18.96024971,168,189,learn-dynamics.data-management-foundation-business-central,developer,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Explore data governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/introduction-to-data-governance-microsoft-365/,6,721,"6,525",13.87%,375,52,59,2180,25.98841886,180,225,learn.wwl.introduction-to-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Get started with cost accounting for supply chains in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/get-started-cost-accounting-supply-chains-dyn365-finance/,1,591,"2,250",13.79%,406,56,63,2180,9.863761985,765,56,learn-dynamics.get-started-cost-accounting-supply-chains-dyn365-finance,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
Active Directory Domain Services,https://docs.microsoft.com/en-us/learn/paths/active-directory-domain-services/,5,"7,617","62,611",13.77%,"2,208",304,342,2180,21.968148,"1,603",275,learn.wwl.active-directory-domain-services,administrator;security-engineer;solution-architect;technology-manager,windows-server,intermediate,tonyj,wwlpublish
Use Power BI in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/use-power-bi/,3,432,"3,519",13.75%,160,22,22,2180,17.90034722,344,208,learn-dynamics.use-power-bi,functional-consultant;developer,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Create a business process flow in Power Automate,https://docs.microsoft.com/en-us/learn/paths/create-business-process-flow/,4,"5,750","46,434",13.74%,"3,856",530,569,2180,22.50996812,"4,240",184,learn-bizapps.create-business-process-flow,maker;functional-consultant;business-user,power-automate;power-platform,intermediate,kschimke,KevSch
Configure and work with omnichannel prerequisites in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/configure-work-omnichannel-prequisites-commerce/,4,323,"4,642",13.74%,182,25,24,2180,36.16790506,89,422,learn-dynamics.configure-work-omnichannel-prequisites-commerce,functional-consultant;business-user,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
Manage events in Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/paths/manage-events-dynamics-365-marketing/,4,553,"4,897",13.71%,394,54,54,2180,23.17179024,668,244,learn-dynamics.manage-events-dynamics-marketing,business-user;functional-consultant,dynamics-365;dynamics-marketing,intermediate,dbeasley,DaveBeasley
Work with essential development standards for Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/essential-development-standards/,4,393,"3,998",13.69%,168,23,24,2180,34.16039016,199,226,learn-dynamics.essential-development-standards,developer,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Configure and manage fixed assets and Asset leasing in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/configure-manage-fixed-assets-dyn365-finance/,3,728,"10,275",13.65%,359,49,43,2180,36.24530678,638,409,learn-dynamics.configure-manage-fixed-assets-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,cstorega,cstorega
Create jobs in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-jobs/,4,262,"1,724",13.46%,156,21,21,2180,14.19141221,173,112,learn-dynamics.create-jobs,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Get started with Microsoft Viva Insights (Workplace Analytics),https://docs.microsoft.com/en-us/learn/paths/m365-workplace-analytics-start/,4,"1,920","11,649",13.45%,803,108,118,2180,14.33570313,814,151,learn-m365.workplace-analytics-get-started,business-analyst;data-analyst;business-owner,m365;m365-workplace-analytics;power-bi,beginner,teleary,madehmer
Work with Data Warehouses using Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/paths/work-with-data-warehouses-using-azure-synapse-analytics/,9,"5,372","110,334",13.39%,"3,151",422,454,2180,54.26907111,"1,498",453,learn.wwl.work-with-data-warehouses-using-azure-synapse-analytics,data-engineer,azure-synapse-analytics,intermediate,chtestao,wwlpublish
Prerequisites for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-prerequisites/,9,"65,740","745,833",13.30%,"1,646",219,206,2180,30.81030752,"2,434",392,learn.azure-admin-prerequisites,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-clis;azure-active-directory;azure-container-instances;azure-container-registry;azure-storage,beginner,cwatson,cwatson-cat
Detect and respond to cyber attacks with Microsoft 365 Defender,https://docs.microsoft.com/en-us/learn/paths/defender-detect-respond/,5,805,"7,089",13.27%,535,71,76,2180,22.99521739,220,98,learn-m365.defender-detect-respond,administrator;security-operations-analyst;security-engineer,m365,beginner,beccarobins,alistairmatthews
Cloud-native security operations with Microsoft Sentinel,https://docs.microsoft.com/en-us/learn/paths/security-ops-sentinel/,7,"8,124","78,936",13.25%,"1,585",210,244,2180,18.83745692,"1,430",379,learn.security-ops-sentinel,administrator;devops-engineer;security-engineer;solution-architect,azure;azure-sentinel,beginner,micrum,micrum
Tailor roles and design the UI for Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/tailor-roles-design-ui/,4,480,"2,954",13.21%,106,14,15,2180,14.69878472,175,188,learn-dynamics.tailor-roles-design-ui,developer,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
AZ-400: Manage source control,https://docs.microsoft.com/en-us/learn/paths/az-400-manage-source-control/,15,"10,371","128,683",13.16%,"2,606",343,351,2180,20.88109793,"2,549",829,learn.az-400-manage-source-control,devops-engineer;administrator;developer;solution-architect,azure;github,beginner,thpetche,tpetchel
Configure Asset Management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-asset-management-dyn365-supply-chain-mgmt/,5,555,"5,076",13.04%,115,15,13,2180,21.94051051,437,453,learn-dynamics.configure-asset-management-dyn365-supply-chain-mgmt,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
Manage Microsoft 365 messaging organizational settings and architecture,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-architecture/,7,"1,496","15,300",13.03%,829,108,117,2180,29.58114973,"1,180",204,learn-m365.m365-messaging-architecture,administrator,m365;office-365;office-exchange-server,intermediate,teleary,AlexandraHrt
Learn how Microsoft safeguards customer data,https://docs.microsoft.com/en-us/learn/paths/audit-safeguard-customer-data/,13,"5,333","43,187",12.91%,550,71,78,2180,9.837174198,736,358,learn-m365.audit-safeguard-customer-data,auditor;privacy-manager;risk-practitioner,m365,beginner,beccarobins,NamrahK
Work with Expense management in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/work-expense-management/,4,671,"6,375",12.85%,249,32,34,2180,16.37426726,203,345,learn-dynamics.work-expense-management,business-user;functional-consultant;administrator,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations,intermediate,cstorega,cstorega
Architect compute infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-compute-infrastructure/,9,"94,127","926,105",12.75%,"3,097",395,358,2180,32.47075458,"10,142",434,learn.architect-compute-infrastructure,solution-architect,azure;azure-virtual-machines,intermediate,jaboes,jboeshart
Deliver engaging and accessible virtual events with Microsoft Teams and Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-virtual-events-fundamentals/,3,"1,193","7,960",12.68%,970,123,125,2180,11.78530316,335,75,learn-m365-pr.virtual-events-beginner,administrator;business-user,m365;office-teams,beginner,elizapo,lizap
AZ-500 part 3: Secure your data and applications,https://docs.microsoft.com/en-us/learn/paths/secure-your-data-applications/,4,"2,337","31,057",12.68%,"2,090",265,294,2180,38.883911,366,335,learn.wwl.secure-your-data-applications,administrator;security-engineer,azure;azure-active-directory;azure-key-vault;azure-sql-database;azure-sql-managed-instance,intermediate,roberts,wwlpublish
Configure your organization in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/configure-your-organization-finance-ops/,8,"3,147","50,499",12.63%,"1,188",150,138,2180,102.7358437,"1,833",737,learn-dynamics.configure-your-organization-in-finance-and-ops,business-user;functional-consultant;administrator,dynamics-365;dynamics-finance-operations,intermediate;advanced,cstorega,cstorega
Work with different technologies in WinAutomation,https://docs.microsoft.com/en-us/learn/paths/work-winautomation-technology/,6,642,"3,235",12.57%,175,22,23,2180,5.174195223,211,306,learn-bizapps.work-winautomation-technology,administrator;maker;business-user;developer;functional-consultant,power-platform;power-automate,intermediate,dbeasley,DaveBeasley
Scale AI in your organization,https://docs.microsoft.com/en-us/learn/paths/scale-ai-organizations/,2,796,"3,862",12.50%,264,33,33,2180,11.46518007,358,86,learn.scale-ai-organizations,functional-consultant;business-user,azure;dynamics-365;m365,intermediate,rawortma,RWortmanMorris
Create components with Power Apps Component Framework,https://docs.microsoft.com/en-us/learn/paths/use-power-apps-component-framework/,3,"2,261","16,013",12.45%,"1,558",194,193,2180,21.11455108,"1,290",156,learn-dynamics.use-power-apps-component-framework,developer,dynamics-365;power-platform;power-apps,advanced,dbeasley,DaveBeasley
AZ-305: Design business continuity solutions,https://docs.microsoft.com/en-us/learn/paths/design-business-continuity-solutions/,2,997,"5,788",12.36%,914,113,126,2180,17.06116683,83,57,learn.wwl.design-business-continuity-solutions,solution-architect,azure,advanced,cynthist,wwlpublish
Get started with inventory management in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/get-started-inventory-management/,2,619,"3,885",12.29%,407,50,49,2180,12.17509424,381,84,learn-dynamics.get-started-inventory-management,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Azure for the Data Engineer,https://docs.microsoft.com/en-us/learn/paths/azure-for-the-data-engineer/,3,"14,646","139,555",12.25%,"12,846","1,574","1,718",2180,31.82248851,"12,626",111,learn.data-ai.azure-for-the-data-engineer,data-engineer,azure;azure-portal;azure-storage;azure-virtual-machines,beginner,chtestao,ctesta-oneillmsft
AZ-400: Facilitate communication and collaboration,https://docs.microsoft.com/en-us/learn/paths/az-400-facilitate-communication-collaboration/,6,"28,607","233,322",12.18%,"1,773",216,235,2180,24.50706878,"1,985",147,learn.az-400-facilitate-communication-collaboration,devops-engineer;administrator;developer;solution-architect,azure;azure-devops,beginner,thpetche,tpetchel
Extending Microsoft Power Platform Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/paths/extend-power-platform-common-data-service/,2,701,"3,296",12.13%,437,53,58,2180,16.89954826,"1,756",123,learn-dynamics.extend-power-platform-common-data-service,developer,dynamics-365;power-platform;power-apps,intermediate,dbeasley,DaveBeasley
AZ-400: Get started on a DevOps transformation journey,https://docs.microsoft.com/en-us/learn/paths/az-400-get-started-devops-transformation-journey/,7,98,"1,012",12.12%,33,4,5,2180,14.44285714,16,142,learn.wwl.az-400-get-started-devops-transformation-journey,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
AZ-500 part 4: Manage security operation,https://docs.microsoft.com/en-us/learn/paths/manage-security-operation/,3,"2,472","21,279",11.84%,"2,129",252,285,2180,22.4596548,394,189,learn.wwl.manage-security-operation,administrator;security-engineer,azure;azure-monitor;azure-security-center;azure-sentinel,intermediate,roberts,wwlpublish
Work with cases in Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/work-with-cases-in-dynamics-365-for-customer-service/,5,"3,557","27,953",11.82%,"1,320",156,132,2180,27.64128479,"1,349",279,learn-bizapps.customer-service-hub-cases-slas,business-user;functional-consultant,dynamics-365;dynamics-customer-service,beginner,kschimke,KevSch
Use advanced data options and connectors in Power Apps,https://docs.microsoft.com/en-us/learn/paths/advanced-data-options-and-connectors/,4,"2,207","9,059",11.69%,676,79,83,2180,14.84142124,"1,829",141,learn-bizapps.advanced-data-options-and-connectors,functional-consultant;maker,power-platform;power-apps,advanced,dbeasley,DaveBeasley
Azure Fundamentals part 1: Describe core Azure concepts (AZ-900),https://docs.microsoft.com/en-us/learn/paths/az-900-describe-cloud-concepts/,3,"314,251","2,980,570",11.66%,"252,167","29,392","32,595",2180,28.19455435,"86,133",94,learn.az-900-describe-cloud-concepts,administrator;solution-architect;developer;student,azure;azure-resource-manager;azure-functions,beginner,rknapp,Randall-Knapp
Introduction to version control with Git,https://docs.microsoft.com/en-us/learn/paths/intro-to-vc-git/,4,"3,139","24,257",11.65%,"1,579",184,167,2180,21.23497929,"4,350",161,learn.student-evangelism.intro-to-vc-git,developer,azure;github,beginner,chnoring,softchris
Discover the foundation of customizing Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/foundation-customize-business-central/,7,"1,282","13,224",11.61%,336,39,40,2180,26.44659386,466,405,learn-dynamics.foundation-customize-business-central,developer,dynamics-365;dynamics-business-central,intermediate;beginner,kschimke,KevSch
AZ-500 part2: Implement platform protection,https://docs.microsoft.com/en-us/learn/paths/implement-platform-protection/,4,"3,185","44,906",11.52%,"2,595",299,348,2180,50.99349032,404,362,learn.wwl.implement-platform-protection,administrator;security-engineer,azure;azure-active-directory;azure-firewall,intermediate,roberts,wwlpublish
AI business school for financial services,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-financial-services/,12,"6,143","59,071",11.49%,531,61,65,2180,17.04934343,"2,022",576,learn.ai-business-school-financial-services,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Introduction to Azure IoT,https://docs.microsoft.com/en-us/learn/paths/introduction-to-azure-iot/,7,"5,884","62,713",11.45%,"2,498",286,312,2180,30.32741332,"4,882",280,learn.introduction-to-azure-iot,developer;solution-architect;administrator,azure;azure-iot;azure-portal;azure-storage;azure-iot-hub;azure-iot-central;azure-iot-edge;azure-time-series-insights;azure-cosmos-db;azure-blob-storage;azure-event-grid,beginner;intermediate,pacorte,AltaOhms
Set up Dynamics 365 Marketing and configure advanced settings,https://docs.microsoft.com/en-us/learn/paths/get-started-with-marketing/,3,925,"8,901",11.40%,719,82,81,2180,35.83706306,963,157,learn-dynamics.set-up-dynamics-365-marketing,administrator;functional-consultant;business-user,dynamics-365;dynamics-marketing,intermediate,dbeasley,DaveBeasley
Configure and use process manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-use-process-manufacturing-dyn365-supply-chain-mgmt/,4,"7,432","201,577",11.32%,433,49,54,2180,39.44398547,528,600,learn-dynamics.configure-and-use-process-manufacturing-in-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
Unlock customer intent with Dynamics 365 Audience insights,https://docs.microsoft.com/en-us/learn/paths/build-customer-insights/,4,948,"9,181",11.24%,418,47,46,2180,28.61436357,690,228,learn-dynamics.build-customer-insights,functional-consultant;business-user;administrator,dynamics-365;dynamics-cust-insights,intermediate,dbeasley,DaveBeasley
Introduction to configuration in Dynamics 365 model-driven apps,https://docs.microsoft.com/en-us/learn/paths/introduction-configuration-dynamics-365-model-driven-apps/,3,987,"6,871",11.24%,596,67,69,2180,20.74935832,"1,275",63,learn.wwl.introduction-configuration-dynamics-365-model-driven-apps,administrator;business-analyst;business-user;developer;functional-consultant,dynamics-365;dynamics-customer-service;dynamics-field-service;dynamics-marketing;dynamics-sales;power-platform,beginner,anjenni,wwlpublish
AZ-400: Develop a security and compliance plan,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-security-compliance-plan/,11,"53,453","695,118",11.23%,"1,995",224,225,2180,37.47946888,"2,736",428,learn.az-400-develop-security-compliance-plan,devops-engineer;administrator;developer;solution-architect;security-engineer,azure;azure-active-directory;azure-key-vault;azure-api-management;azure-monitor,beginner,thpetche,tpetchel
Protect on-premises identities with?Microsoft?Defender?for?Identity,https://docs.microsoft.com/en-us/learn/paths/defender-identity-protect-on-premises/,3,568,"2,825",11.21%,473,53,58,2180,9.944542254,135,50,learn-m365.m365-defender-identity-protect-on-premises,administrator;security-operations-analyst;security-engineer,m365;mdatp,beginner,beccarobins,alistairmatthews
Master planning in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/master-planning-supply-chain-management/,2,948,"10,330",11.13%,494,55,51,2180,31.13387834,261,395,learn-dynamics.master-planning-supply-chain-management,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
Securely connect IoT devices to the cloud,https://docs.microsoft.com/en-us/learn/paths/securely-connect-iot-devices/,6,"2,588","29,852",11.12%,"1,043",116,122,2180,34.94543405,"1,934",329,learn.securely-connect-iot-devices-to-cloud,developer;solution-architect;administrator,azure;azure-iot;azure-portal;azure-storage;azure-iot-hub;azure-iot-central;azure-iot-edge;azure-time-series-insights;azure-cosmos-db;azure-blob-storage;azure-event-grid,beginner;intermediate,pacorte,AltaOhms
AI business school for education,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-education/,12,"6,073","59,050",11.11%,495,55,60,2180,17.44837807,"1,534",582,learn.ai-business-school-education,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Azure Database for PostgreSQL,https://docs.microsoft.com/en-us/learn/paths/introduction-to-azure-postgres/,3,904,"5,823",11.11%,243,27,32,2180,11.75070059,327,115,learn.azure.azure-database-for-postgresql,administrator;developer;solution-architect;student,azure;azure-database-postgresql,beginner,jasdeb,TomReidNZ
Connect and engage with customers with Omnichannel for Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/paths/work-customer-service-omnichannel/,9,"1,173","15,372",11.11%,603,67,68,2180,41.56710713,523,420,learn-dynamics.work-customer-service-omnichannel,administrator;functional-consultant;business-user,dynamics-365;dynamics-customer-service,intermediate,kschimke,KevSch
Configure and use point of sale in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/configure-use-pos-commerce/,3,389,"2,927",11.04%,163,18,18,2180,22.32613539,111,327,learn-dynamics.configure-use-pos-commerce,functional-consultant;business-user;administrator,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
